[{No.,1
Ticker,A
Company,Agilent Technologies Inc
Sector,Healthcare
Industry,Diagnostics & Research
Country,USA
Market Cap,35035.35
P/E,27.11
Price,123.87
Change,0.00%
Volume,0}
{No.,2
Ticker,AA
Company,Alcoa Corp
Sector,Basic Materials
Industry,Aluminum
Country,USA
Market Cap,15105.37
P/E,13.03
Price,58.33
Change,1.50%
Volume,2316}
{No.,3
Ticker,AAA
Company,Alternative Access First Priority CLO Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.02
Change,0.00%
Volume,0}
{No.,4
Ticker,AAAA
Company,Amplius Aggressive Asset Allocation ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,27.83
Change,0.00%
Volume,0}
{No.,5
Ticker,AAAC
Company,Columbia AAA CLO ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,20.08
Change,0.00%
Volume,0}
{No.,6
Ticker,AAAU
Company,Goldman Sachs Physical Gold ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,48.46
Change,0.71%
Volume,627}
{No.,7
Ticker,AACB
Company,Artius II Acquisition Inc
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,286.57
P/E,
Price,10.39
Change,0.00%
Volume,0}
{No.,8
Ticker,AACG
Company,ATA Creativity Global ADR
Sector,Consumer Defensive
Industry,Education & Training Services
Country,China
Market Cap,28.40
P/E,
Price,0.89
Change,0.00%
Volume,0}
{No.,9
Ticker,AACIU
Company,Armada Acquisition Corp III
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,
P/E,
Price,
Change,
Volume,0}
{No.,10
Ticker,AADR
Company,AdvisorShares Dorsey Wright ADR ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,93.89
Change,0.00%
Volume,0}
{No.,11
Ticker,AAEQ
Company,Alpha Architect US Equity 2 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,48.55
Change,0.00%
Volume,0}
{No.,12
Ticker,AAL
Company,American Airlines Group Inc
Sector,Industrials
Industry,Airlines
Country,USA
Market Cap,9538.25
P/E,86.79
Price,14.45
Change,0.35%
Volume,9536}
{No.,13
Ticker,AALG
Company,Leverage Shares 2X Long AAL Daily ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,15.04
Change,0.00%
Volume,0}
{No.,14
Ticker,AAME
Company,Atlantic American Corp
Sector,Financial
Industry,Insurance - Life
Country,USA
Market Cap,55.48
P/E,12.07
Price,2.72
Change,0.00%
Volume,0}
{No.,15
Ticker,AAMI
Company,Acadian Asset Management Inc
Sector,Financial
Industry,Asset Management
Country,USA
Market Cap,1854.73
P/E,23.51
Price,51.94
Change,0.00%
Volume,0}
{No.,16
Ticker,AAOI
Company,Applied Optoelectronics Inc
Sector,Technology
Industry,Communication Equipment
Country,USA
Market Cap,3045.28
P/E,
Price,44.60
Change,1.57%
