table_name,column_name,data_type
users,id,integer
users,username,text
users,email,text
users,password,text
users,is_admin,integer
users,is_active,integer
users,last_login,timestamp with time zone
users,login_count,integer
users,saxo_access_token,text
users,saxo_refresh_token,text
users,saxo_token_expires,timestamp with time zone
users,saxo_connected_at,timestamp with time zone
users,broker_type,text
users,broker_access_token,text
users,broker_refresh_token,text
users,broker_connected_at,timestamp with time zone
users,broker_status,text
users,pplx_api_key,text
users,pplx_model,text
users,created_at,timestamp with time zone
users,updated_at,timestamp with time zone
users,trading_timezone,text
users,active_preset_id,integer
users,password_hash,text
users,plan,text
users,role,text
activity_log,id,integer
activity_log,user_id,integer
activity_log,action,text
activity_log,details,text
activity_log,ip_address,text
activity_log,user_agent,text
activity_log,created_at,timestamp with time zone
settings,key,text
settings,value,text
settings,updated_at,timestamp with time zone
usage_events,id,integer
usage_events,ts,bigint
usage_events,user,text
usage_events,path,text
schema_migrations,version,character varying
schema_migrations,applied_at,timestamp with time zone
broker_executions,exec_id,integer
broker_executions,user_id,integer
broker_executions,dataset_scope,character varying
broker_executions,broker,character varying
broker_executions,symbol,character varying
broker_executions,side,character varying
broker_executions,qty,numeric
broker_executions,price,numeric
broker_executions,commission,numeric
broker_executions,exec_time,timestamp with time zone
broker_executions,raw_json,jsonb
broker_executions,created_at,timestamp with time zone
trades,trade_id,integer
trades,user_id,integer
trades,dataset_scope,character varying
trades,symbol,character varying
trades,side,character varying
trades,entry_price,numeric
trades,exit_price,numeric
trades,qty,numeric
trades,pnl_dollar,numeric
trades,pnl_percent,numeric
trades,commission_total,numeric
trades,opened_at,timestamp with time zone
trades,closed_at,timestamp with time zone
trades,duration_seconds,integer
trades,status,character varying
trades,created_at,timestamp with time zone
trade_metadata,metadata_id,integer
trade_metadata,trade_id,integer
trade_metadata,setup_type,character varying
trade_metadata,conviction,smallint
trade_metadata,notes,text
trade_metadata,screenshot_url,text
trade_metadata,tags_json,jsonb
trade_metadata,review_status,character varying
trade_metadata,created_at,timestamp with time zone
trade_metadata,updated_at,timestamp with time zone
trade_tags,tag_id,integer
trade_tags,user_id,integer
trade_tags,tag_name,character varying
trade_tags,colour_hex,character varying
trade_tags,created_at,timestamp with time zone
daily_reviews,review_id,integer
daily_reviews,user_id,integer
daily_reviews,dataset_scope,character varying
daily_reviews,review_date,date
daily_reviews,total_pnl,numeric
daily_reviews,total_trades,integer
daily_reviews,win_rate,numeric
daily_reviews,summary_text,text
daily_reviews,lessons_text,text
daily_reviews,plan_tomorrow,text
daily_reviews,mood,smallint
daily_reviews,rating,smallint
daily_reviews,created_at,timestamp with time zone
daily_reviews,updated_at,timestamp with time zone
user_presets,id,integer
user_presets,user_id,integer
user_presets,name,text
user_presets,min_price,numeric
user_presets,max_price,numeric
