table_schema,table_name,column_name,data_type
public,activity_log,id,integer
public,activity_log,user_id,integer
public,activity_log,action,text
public,activity_log,details,text
public,activity_log,ip_address,text
public,activity_log,user_agent,text
public,activity_log,created_at,timestamp with time zone
public,alert_history,id,uuid
public,alert_history,alert_id,uuid
public,alert_history,symbol,text
public,alert_history,message,text
public,alert_history,triggered_at,timestamp with time zone
public,alerts,id,bigint
public,alerts,type,text
public,alerts,source,text
public,alerts,severity,text
public,alerts,message,text
public,alerts,acknowledged,boolean
public,alerts,created_at,timestamp with time zone
public,alerts,updated_at,timestamp with time zone
public,audit_log,id,integer
public,audit_log,actor,text
public,audit_log,action,text
public,audit_log,target,text
public,audit_log,created_at,timestamp with time zone
public,broker_executions,exec_id,integer
public,broker_executions,user_id,integer
public,broker_executions,dataset_scope,character varying
public,broker_executions,broker,character varying
public,broker_executions,symbol,character varying
public,broker_executions,side,character varying
public,broker_executions,qty,numeric
public,broker_executions,price,numeric
public,broker_executions,commission,numeric
public,broker_executions,exec_time,timestamp with time zone
public,broker_executions,raw_json,jsonb
public,broker_executions,created_at,timestamp with time zone
public,chart_trends,symbol,text
public,chart_trends,trend,text
public,chart_trends,support,jsonb
public,chart_trends,resistance,jsonb
public,chart_trends,channel,jsonb
public,chart_trends,breakouts,jsonb
public,chart_trends,computed_at,timestamp with time zone
public,chart_trends,updated_at,timestamp with time zone
public,company_profiles,symbol,text
public,company_profiles,company_name,text
public,company_profiles,exchange,text
public,company_profiles,sector,text
public,company_profiles,industry,text
public,company_profiles,description,text
public,company_profiles,ceo,text
public,company_profiles,website,text
public,company_profiles,country,text
public,company_profiles,market_cap,bigint
public,company_profiles,float,bigint
public,company_profiles,shares_outstanding,bigint
public,company_profiles,ipo_date,date
public,company_profiles,logo_url,text
public,company_profiles,last_updated,timestamp without time zone
public,daily_ohlc,symbol,text
public,daily_ohlc,date,date
public,daily_ohlc,open,double precision
public,daily_ohlc,high,double precision
public,daily_ohlc,low,double precision
public,daily_ohlc,close,double precision
public,daily_ohlc,volume,bigint
public,daily_reviews,review_id,integer
public,daily_reviews,user_id,integer
public,daily_reviews,dataset_scope,character varying
public,daily_reviews,review_date,date
public,daily_reviews,total_pnl,numeric
public,daily_reviews,total_trades,integer
public,daily_reviews,win_rate,numeric
public,daily_reviews,summary_text,text
public,daily_reviews,lessons_text,text
public,daily_reviews,plan_tomorrow,text
public,daily_reviews,mood,smallint
public,daily_reviews,rating,smallint
public,daily_reviews,created_at,timestamp with time zone
public,daily_reviews,updated_at,timestamp with time zone
public,daily_signal_snapshot,id,uuid
