ticker,status,openrange_price,openrange_rvol,openrange_volume,openrange_news,openrange_earnings,openrange_driver,openrange_tradeability,openrange_confidence,finviz_price,finviz_change_percent,finviz_volume,finviz_news_count,finviz_earnings_date,unusual_whales_price,unusual_whales_change_percent,unusual_whales_volume,unusual_whales_news_count,unusual_whales_earnings_date
PLTR,complete,148.46,0.3589865299215291,12901071,63,2026-05-04,NO_DRIVER,AVOID,23,148.46,1.34,0.61,100,,,,,,
SOFI,complete,15.85,0.3366319956906159,21039627,16,2026-04-29,NO_DRIVER,AVOID,0,15.85,1.41,0.82,100,,,,,,
RKLB,complete,67.73,0.5580317861340257,11208653,11,,TECHNICAL_BREAKOUT,TRADEABLE,70,67.73,3.37,1.45,100,,,,,,
UPST,complete,25.58,0.31253011535921016,1668550,4,,NO_DRIVER,AVOID,12,25.58,0.87,0.53,100,,,,,,
BB,complete,3.46,0.2985034106815676,1847802,2,2026-04-09,TECHNICAL_BREAKOUT,AVOID,50,3.46,2.98,1.05,100,,,,,,
OPEN,complete,4.74,0.1986038431795254,10176215,5,,TECHNICAL_BREAKOUT,AVOID,44,4.74,3.72,0.58,100,,,,,,
DKNG,complete,23.16,0.19678965930608952,3662553,0,,TECHNICAL_BREAKOUT,AVOID,44,23.16,4.51,0.65,100,,,,,,
RBLX,complete,60.1,0.1858626055860467,2605927,2,,TECHNICAL_BREAKOUT,AVOID,61,60.11,4.3,0.91,100,,,,,,
AFRM,complete,46.31,0.1837558775618343,1382353,0,,MACRO_SECTOR,AVOID,44,46.31,1.69,0.55,100,,,,,,
NET,complete,211.48,0.12282594888687122,749979,2,,TECHNICAL_BREAKOUT,AVOID,61,211.69,3.05,0.45,100,,,,,,
SNAP,complete,4.63,0.3892047030247286,22321118,19,,MACRO_SECTOR,TRADEABLE,75,4.63,-5.51,1.19,100,,,,,,
COIN,complete,171.46,0.23421240577401872,3186407,1,,NO_DRIVER,AVOID,17,171.46,-0.88,0.71,100,,,,,,
AMD,complete,217.5,0.6664217237071176,16132812,46,,NEWS,TRADEABLE,87,217.5,3.47,1,100,,,,,,
SHOP,complete,118.25,0.323757658817653,2644459,2,,NO_DRIVER,AVOID,20,118.25,-0.23,0.6,100,,,,,,
UBER,complete,71.84,0.37859649285156477,4443045,9,,NO_DRIVER,AVOID,24,71.84,0.18,0.62,100,,,,,,
BA,complete,208.22,0.8278006575306979,3898254,6,,NO_DRIVER,AVOID,2,208.22,0.43,0.87,100,,,,,,
PYPL,complete,45.34,0.16551498204281137,5155055,14,,MACRO_SECTOR,AVOID,42,45.34,1.59,0.53,100,,,,,,
DIS,complete,96.64,0.3789991498477271,2655709,12,,NO_DRIVER,AVOID,5,96.61,0.05,0.53,100,,,,,,
AAPL,complete,255.92,0.5093610945814431,10048019,4260,2026-05-07,NEWS,TRADEABLE,86,255.92,0.11,0.65,100,,,,,,
TSLA,complete,360.59,0.5294864062373258,22936763,150,,NEWS,TRADEABLE,89,360.59,-5.42,1.34,100,,,,,,
NVDA,partial,177.39,0.4528105034108073,62146174,4072,2026-05-27,NEWS,AVOID,63,,,,,,,,,,
MSFT,partial,373.46,0.5186221611584158,10321077,4110,2026-04-29,NEWS,TRADEABLE,78,,,,,,,,,,
AMZN,partial,209.77,0.5004476323529163,13638841,134,,NO_DRIVER,AVOID,2,,,,,,,,,,
META,partial,574.46,0.8168315977878646,7530431,86,2026-04-29,NEWS,TRADEABLE,78,,,,,,,,,,
